,S.N,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
0,1,10% Laxmi Bank Debenture 2086,2,1055.00,1055.00,1055.00,360.00,379800.00,1055.00,0.00
1,2,10% Nabil Debenture 2082,6,1020.10,1015.00,1015.10,175.00,178192.50,1038.30,-23.20
2,3,10% Nepal SBI Bank Debenture 2086,3,1050.00,1050.00,1050.00,75.00,78750.00,1050.00,0.00
3,4,10% Prabhu Bank Debenture 2084 ,3,1050.00,1050.00,1050.00,1000.00,1050000.00,1050.00,0.00
4,5,10% Sanima Bank Limited Debenture,3,1050.00,1050.00,1050.00,416.00,436800.00,1050.00,0.00
5,6,10% Sunrise Debenture 2080,2,1016.10,1016.00,1016.00,825.00,838220.00,1030.00,-14.00
6,7,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1020.10,1020.10,1020.10,25.00,25502.50,1016.00,4.10
7,8,10.25% KBL Debenture 2086,1,1095.90,1095.90,1095.90,150.00,164385.00,1118.20,-22.30
8,9,10.25% Sunrise Bank Debenture 2083,2,1040.00,1040.00,1040.00,850.00,884000.00,1030.10,9.90
9,10,10.35% Agricultural Bank Debenture 2083,3,1049.10,1049.00,1049.00,420.00,440585.00,1042.00,7.00
10,11,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1040.30,1040.30,1040.30,125.00,130037.50,1040.00,0.30
11,12,11% NIC Asia Debenture 082/83,11,1078.00,1066.00,1070.00,1375.00,1470572.50,1064.30,5.70
12,13,8.5% SBL Debenture 2084,1,979.00,979.00,979.00,100.00,97900.00,985.00,-6.00
13,14,9.5% Manjushree Finance Limited Debenture 2085,2,1002.00,999.10,999.10,50.00,50027.50,1005.00,-5.90
14,15,9.5% NCC Debenture 2086,3,1006.00,1000.00,1005.00,75.00,75275.00,1007.10,-2.10
15,16,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,74,1613.50,1540.00,1545.00,3189.00,4998817.00,1581.00,-36.00
16,17,Agriculture Development Bank Limited,558,555.00,540.30,547.00,64932.00,35529772.80,548.50,-1.50
17,18,Ajod Insurance Limited,251,810.00,793.00,798.00,7779.00,6233457.50,806.00,-8.00
18,19,Ankhu Khola Jalvidhyut Company Ltd,200,418.00,398.00,398.00,17379.00,7010603.20,414.00,-16.00
19,20,Api Power Company Ltd.,4402,562.00,520.00,529.00,613640.00,329998458.00,551.50,-22.50
